fips,county,population
37001,Alamance,169509
37003,Alexander,37497
37005,Alleghany,11137
37007,Anson,24446
37009,Ashe,27203
37011,Avery,17557
37013,Beaufort,46994
37015,Bertie,18947
37017,Bladen,32722
37019,Brunswick,142820
37021,Buncombe,261191
37023,Burke,90485
37025,Cabarrus,216453
37027,Caldwell,82178
37029,Camden,10867
37031,Carteret,69473
37033,Caswell,22604
37035,Catawba,159551
37037,Chatham,74470
37039,Cherokee,28612
37041,Chowan,13943
37043,Clay,11231
37045,Cleveland,97947
37047,Columbus,55508
37049,Craven,102139
37051,Cumberland,335509
37053,Currituck,27763
37055,Dare,37009
37057,Davidson,167609
37059,Davie,42846
37061,Duplin,58741
37063,Durham,321488
37065,Edgecombe,51472
37067,Forsyth,382295
37069,Franklin,69685
37071,Gaston,224529
37073,Gates,11562
37075,Graham,8441
37077,Granville,60443
37079,Greene,21069
37081,Guilford,537174
37083,Halifax,50010
37085,Harnett,135976
37087,Haywood,62317
37089,Henderson,117417
37091,Hertford,23677
37093,Hoke,55234
37095,Hyde,4937
37097,Iredell,181806
37099,Jackson,43938
37101,Johnston,209339
37103,Jones,9419
37105,Lee,61779
37107,Lenoir,55949
37109,Lincoln,86111
37113,Macon,35858
37115,Madison,21755
37117,Martin,22440
37111,McDowell,45756
37119,Mecklenburg,1110356
37121,Mitchell,14964
37123,Montgomery,27173
37125,Moore,100880
37127,Nash,94298
37129,New Hanover,234473
37131,Northampton,19483
37133,Onslow,197938
37135,Orange,148476
37137,Pamlico,12726
37139,Pasquotank,39824
37141,Pender,63060
37143,Perquimans,13463
37145,Person,39490
37147,Pitt,180742
37149,Polk,20724
37151,Randolph,143667
37153,Richmond,44829
37155,Robeson,130625
37157,Rockingham,91010
37159,Rowan,142088
37161,Rutherford,67029
37163,Sampson,63531
37165,Scotland,34823
37167,Stanly,62806
37169,Stokes,45591
37171,Surry,71783
37173,Swain,14271
37175,Transylvania,34385
37177,Tyrrell,4016
37179,Union,239859
37181,Vance,44535
37183,Wake,1111761
37185,Warren,19731
37187,Washington,11580
37189,Watauga,56177
37191,Wayne,123131
37193,Wilkes,68412
37195,Wilson,81801
37197,Yadkin,37667
37199,Yancey,18069